area_type,availability,location,size,total_sqft,bath,balcony,price
Super built-up  Area,19-Dec,Yelahanka,4 BHK,2100 - 2850,4,0,186
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075,2,1,35
Super built-up  Area,Ready To Move,Hebbal,3 BHK,1760,2,2,123
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1693,3,3,57.39
Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,1925,3,,125
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,700,2,1,36
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,1070,2,1,45.5
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,1724,3,2,125
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,1290,2,2,56.12
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,1143,2,2,45
Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,1296,2,,81
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,1254,3,2,38
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,600,1,0,38
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,660,1,0,48
Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,1330.74,2,2,91.79
Plot  Area,Ready To Move,HSR Layout,8 Bedroom,600,9,,200
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,970,2,0,33
Super built-up  Area,20-Sep,Whitefield,2 BHK,1459,2,1,94.82
Plot  Area,Ready To Move,KR Puram,2 Bedroom,800,1,1,130
Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,869,2,1,36
Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,1270,2,1,50
Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,1670,3,1,99
Built-up  Area,Ready To Move,Whitefield,3 BHK,2010,3,2,91
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,1185,2,2,75
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1600,2,3,75
Super built-up  Area,Ready To Move,Begur Road,2 BHK,1200,2,2,44
Built-up  Area,20-Feb,Devanahalli,4 Bedroom,3010 - 3410,,,192
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,1500,2,2,185
Plot  Area,Ready To Move,Murugeshpalya,6 Bedroom,1407,4,1,150
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,840,2,2,45
Plot  Area,Ready To Move,Tharabanahalli,3 Bedroom,4395,3,2,240
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,845,2,1,55
Plot  Area,Ready To Move,Whitefield,4 Bedroom,5700,5,3,650
Built-up  Area,Ready To Move,Varthur,2 BHK,1160,2,2,44
Built-up  Area,Ready To Move,Bommanahalli,8 Bedroom,3000,8,0,140
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,1100,2,1,62
Super built-up  Area,18-Apr,Gunjur,2 BHK,1140,2,3,43
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1220,2,1,57
Plot  Area,Ready To Move,Devarachikkanahalli,8 Bedroom,1350,7,0,85
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1005,2,1,36.68
Plot  Area,Ready To Move,Double Road,3 Bedroom,500,3,2,100
Super built-up  Area,20-Aug,Begur Road,2 BHK,1358,2,1,80.58
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,1569,3,1,101
Super built-up  Area,18-Apr,Haralur Road,2 BHK,1240,2,1,70
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,2089,3,2,140
Super built-up  Area,Ready To Move,Kothannur,2 BHK,1206,2,1,48.23
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1150,2,3,40
Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,2511,3,3,205
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,460,1,0,22
Built-up  Area,Ready To Move,ISRO Layout,6 Bedroom,4400,6,3,250
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,1660,2,2,105
Built-up  Area,18-Oct,Hennur Road,4 Bedroom,2957 - 3450,,,224.5
Super built-up  Area,19-Mar,Yelahanka,2 BHK,1326,2,2,78
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,1325,2,2,60.8
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,1499,5,2,102
Built-up  Area,Ready To Move,Hegde Nagar,6 Bedroom,3000,7,2,210
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1665,3,2,88
Super built-up  Area,17-Sep,Dasanapura,2 BHK,708,2,2,37
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,1060,2,2,58.06
Plot  Area,Ready To Move,Rajaji Nagar,6 Bedroom,710,6,3,160
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,1000,2,2,70
Super built-up  Area,18-Dec,Electronic City,2 BHK,1000,2,1,28.88
Super built-up  Area,Ready To Move, Mysore Highway,3 BHK,1450,2,2,70
Plot  Area,Ready To Move,ISRO Layout,4 Bedroom,1200,4,2,155
Super built-up  Area,17-Aug,Thanisandra,2 BHK,1296,2,3,80
Super built-up  Area,Ready To Move,Domlur,3 BHK,1540,3,2,90
Plot  Area,Ready To Move,Kengeri,4 Bedroom,2894,4,1,245
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,1330,2,1,48
Built-up  Area,Ready To Move,Devasthanagalu,2 BHK,1200,2,1,65
Built-up  Area,Ready To Move,T Dasarahalli,3 Bedroom,1200,3,1,90
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,2502,3,3,138
Built-up  Area,Ready To Move,Chandapura,2 BHK,650,1,1,17
Plot  Area,Ready To Move,Kothanur,3 Bedroom,2400,2,1,150
Super built-up  Area,Ready To Move,Green View Layout,2 BHK,1007,2,2,43
Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,1200,2,2,50
Super built-up  Area,Ready To Move,Peenya,2 BHK,966,2,2,49.9
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,1630,2,1,98
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,1640,3,2,229
Built-up  Area,Ready To Move,Jalahalli West,2 BHK,782,2,2,55.68
Super built-up  Area,19-Apr,Devanahalli,2 BHK,1260,2,2,66.78
Super built-up  Area,Ready To Move,Lakshmiamma Garden,3 BHK,1800,3,3,120
Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,1413,2,2,75
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1116,2,1,51.91
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1530,2,1,45.9
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,3700,4,1,225
Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,2497,3,2,140
Super built-up  Area,Ready To Move,Kengeri,3 BHK,1540,2,3,64
Super built-up  Area,18-Dec,Thanisandra,3 BHK,1436,3,1,74.75
Super built-up  Area,18-Jun,Malleshwaram,2 BHK,1100,2,2,75
Plot  Area,Ready To Move,Hennur Road,2 Bedroom,276,3,3,23
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1427,3,2,120
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,2061,3,1,200
Super built-up  Area,18-Mar,Hebbal,4 BHK,3067 - 8156,4,0,477
Built-up  Area,Ready To Move,Shampura,4 BHK,2650,4,2,150
Super built-up  Area,22-Dec,Devanahalli,3 BHK,1282,2,2,68.52
Built-up  Area,Ready To Move,Kadugodi,2 BHK,1050,2,1,34
Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,1600,3,2,65
Super built-up  Area,22-Jan,Vajarahalli,2 BHK,945,2,1,54
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1500,2,1,78
Plot  Area,Ready To Move,Vishwapriya Layout,7 Bedroom,950,7,0,115
Built-up  Area,Ready To Move,Peenya,3 BHK,1870,3,3,110
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,1600,3,1,75
Super built-up  Area,Ready To Move,Electronic City,2 BHK,880,1,1,16.5
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,1200,4,0,210
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,1535,3,2,83
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,950,2,1,57
Super built-up  Area,18-Aug,Devanahalli,2 BHK,1360,2,1,65
Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,1042 - 1105,2,0,54.005
Super built-up  Area,18-May,Bommasandra Industrial Area,3 BHK,1280,3,1,50.4
Super built-up  Area,19-Jan,Chandra Layout,3 BHK,1260,2,2,85.05
Built-up  Area,Ready To Move,Hennur Road,8 Bedroom,5000,8,,250
Super built-up  Area,19-Dec,Yelahanka,5 BHK,3050,5,1,213
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1563.05,3,1,105
Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,1000,2,1,60
Super built-up  Area,17-Jul,Anandapura,2 BHK,1167,2,1,43.76
Super built-up  Area,Ready To Move,Vishveshwarya Layout,7 BHK,4000,7,2,225
Super built-up  Area,Ready To Move,Kothanur,3 BHK,1828,3,,110
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,890,2,1,35
Super built-up  Area,Ready To Move,Basavanapura,3 BHK,1612,3,3,46.74
Plot  Area,Ready To Move,Dinnur,6 Bedroom,1034,5,,185
Super built-up  Area,19-Apr,Mysore Road,3 BHK,1710,4,2,91.31
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,957,2,1,58
Super built-up  Area,18-May, Devarachikkanahalli,3 BHK,1250,2,3,44
Super built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,2795,4,,235
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1125,2,2,50
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,1020,2,1,30.6
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1200,2,2,50
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1735,3,3,135
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,2050,3,1,145
Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,3750,4,0,760
Built-up  Area,Ready To Move,Yarandahalli,3 BHK,1350,2,3,48
Super built-up  Area,18-May,Hosa Road,2 BHK,1063,2,1,32
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,1904,3,1,150
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,4200,4,2,420
Super built-up  Area,Ready To Move,RMV Extension,3 BHK,2000,3,1,175
Super built-up  Area,18-Dec,Sarjapur,2 BHK,1145 - 1340,2,0,43.49
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,1425,2,2,75
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1500,2,1,64.5
Built-up  Area,Ready To Move,Electronic City,2 BHK,1060,2,1,60
Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,1470,2,2,70
Super built-up  Area,Ready To Move,Kothnur Narayanapura,6 BHK,1300,6,0,99
Super built-up  Area,Ready To Move,Attibele,1 BHK,450,1,1,11
Super built-up  Area,18-Apr,Electronic City,2 BHK,1152,2,1,64.5
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1350,2,1,56
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,1550,3,3,65
Plot  Area,Ready To Move,CHIKKATIRUPATHI,3 Bedroom,1500,3,2,100
Plot  Area,Ready To Move,Kumaraswami Layout,5 Bedroom,600,3,2,85
Plot  Area,Ready To Move,Nagavara,1 Bedroom,400,1,0,14
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,705,1,2,67
Built-up  Area,Ready To Move,Electronic City,2 BHK,770,1,1,36
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1242,2,3,51
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,1700,3,2,155
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,2144,3,2,145
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,1704,3,2,110
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1070,2,1,52
Plot  Area,Ready To Move,8th block Koramangala,3 Bedroom,1846,3,2,300
Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,1340,2,2,55.7
Built-up  Area,Ready To Move,Electronic City,2 BHK,1025,2,1,46
Super built-up  Area,Ready To Move,KR Puram,2 BHK,1015 - 1540,2,0,56.8
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1200,2,2,52
Built-up  Area,18-Dec,Kanakpura Road,4 Bedroom,2250,4,1,110
Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,1550,2,3,80
Plot  Area,Ready To Move,Bellandur,4 Bedroom,1200,5,,325
Plot  Area,Ready To Move,Ejipura,7 Bedroom,1800,7,1,250
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1200,2,2,60
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1327,2,2,98
Super built-up  Area,Ready To Move,Kothanur,2 BHK,1186,2,2,58
Built-up  Area,Ready To Move,MS Pallya,3 Bedroom,1783,3,1,115
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,1400,3,2,56
Super built-up  Area,Ready To Move,Nagasandra,2 BHK,980,2,1,48
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,1285,2,2,82
Super built-up  Area,Ready To Move,Langford Town,3 BHK,912,2,1,70
Built-up  Area,Ready To Move,Whitefield,2 BHK,1225,2,2,47.6
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1075,2,1,53
Built-up  Area,Ready To Move,Kadugodi,3 BHK,1260,2,2,54
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1282,2,2,48.7
Super built-up  Area,Ready To Move,Kogilu,3 BHK,1909,3,2,88
Super built-up  Area,Ready To Move,Panathur,2 BHK,1359,2,1,87
Built-up  Area,Ready To Move,Nagondanahalli,2 BHK,1207,2,2,43.5
Plot  Area,Ready To Move,Padmanabhanagar,4 Bedroom,1736,6,0,190
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,2850,4,1,428
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,1595,3,2,65
Built-up  Area,18-Jun,"Off Sarjapur Road, ",3 BHK,1798,3,2,89
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1475,3,2,78.29
Super built-up  Area,Ready To Move,Tala Cauvery Layout,3 BHK,1580,3,3,100
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,1295,2,1,65
Built-up  Area,Ready To Move,Magadi Road,6 Bedroom,3600,6,0,141
Super built-up  Area,Ready To Move,Electronic City,1 BHK,589,1,1,27
Super built-up  Area,Ready To Move,Ngef Layout,3 BHK,1415,3,3,78
Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,1787,3,2,98.29
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1787,3,2,125
Super built-up  Area,Ready To Move,Koramangala,3 BHK,1475,2,3,90
Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4 BHK,2000,4,1,75.5
Super built-up  Area,19-Mar,Sarjapur  Road,2 BHK,984,2,1,44.28
Super built-up  Area,19-Dec,Devanahalli,3 BHK,1520 - 1740,,,74.82
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,3 BHK,2405,4,2,260
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1080,2,2,72
Plot  Area,Ready To Move,Shantiniketan Layout,2 Bedroom,1500,2,1,115
Super built-up  Area,Ready To Move,Hebbal,3 BHK,1900,3,2,119
Super built-up  Area,19-Aug,Dommasandra,2 BHK,805,2,1,22.14
Super built-up  Area,Ready To Move,Budigere,2 BHK,1153,2,2,56.4
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,1148,2,2,60
Super built-up  Area,Ready To Move,Mylasandra,2 BHK,1110,2,2,55
Built-up  Area,Ready To Move,Electronic City,2 BHK,1100,2,2,42
Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,1290,2,2,110
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,3 BHK,1500,2,1,65
Super built-up  Area,18-Apr,Bank Of Baroda Colony,2 BHK,1080,2,2,39
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,1933,3,1,129
Built-up  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,3500,5,2,150
Built-up  Area,Ready To Move,Kullappa Colony,2 BHK,1060,2,2,60
Super built-up  Area,18-Aug,Chandapura,1 BHK,645,1,1,16.45
Plot  Area,Ready To Move,Mukkutam Nagar,8 Bedroom,2600,8,2,180
Super built-up  Area,18-Sep,Chandapura,1 BHK,645,1,1,16.45
Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,1644,3,3,84
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,2 BHK,1285,2,3,72.5
Plot  Area,Ready To Move,Electronic City,3 Bedroom,1200,3,1,90
Super built-up  Area,Ready To Move,Electronic City,2 BHK,910,2,1,40
Super built-up  Area,Ready To Move,Kothanur,3 BHK,1577,3,1,70
Plot  Area,17-May,Meenakunte,3 Bedroom,4050,3,2,280
Super built-up  Area,Ready To Move,OMBR Layout,3 BHK,2420,3,2,185
Super built-up  Area,Ready To Move,Chandapura,2 BHK,800,1,1,20
Built-up  Area,Ready To Move,Anand Nagar,2 BHK,1060,2,2,55
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1270,2,2,93
Super built-up  Area,18-Jun,Shree Ananth Nagar Layout,2 BHK,900,2,2,22.5
Built-up  Area,Ready To Move,Kundalahalli Colony,2 Bedroom,1280,2,1,69
Plot  Area,Ready To Move,Horamavu Agara,4 Bedroom,1200,2,0,95
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1025,2,2,36
Super built-up  Area,17-Jun,Electronic City,2 BHK,1108,2,1,63
Plot  Area,Ready To Move,MCECHS  layout,5 Bedroom,1200,5,,170
Super built-up  Area,Ready To Move,Coffee Board Layout,3 BHK,3045,3,2,170
Plot  Area,Ready To Move,Ambedkar Nagar,4 Bedroom,2900,3,2,300
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,1500,3,2,75.5
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1295,2,2,43.9
Super built-up  Area,Ready To Move,Budigere,2 BHK,1162,2,1,59.9
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1035,2,2,49.2
Built-up  Area,Ready To Move,Attibele,4 Bedroom,1600,4,0,52.8
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,1464,3,2,46
Super built-up  Area,18-Oct,Hennur Road,3 BHK,1866,2,2,61.58
Super built-up  Area,Ready To Move,Geleyara Balaga Layout,2 BHK,700,1,1,26
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,1804,3,2,120
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,913,2,1,32
Super built-up  Area,21-Dec,Talaghattapura,3 BHK,1868,3,2,131
Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,883,2,1,45
Plot  Area,Ready To Move,Sundara Nagar,2 Bedroom,900,2,1,110
Super built-up  Area,Ready To Move,Kogilu,3 BHK,1664,2,3,73.95
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,2026,3,2,132
Super built-up  Area,Ready To Move,Balagere,2 BHK,1210,2,1,80.9
Plot  Area,Ready To Move,Meenakunte,4 Bedroom,4111,4,2,250
Super built-up  Area,Ready To Move,Kadugodi,3 BHK,1762,3,3,91.45
Super built-up  Area,Ready To Move,Jigani,3 BHK,1252,3,3,55
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,861,2,1,34.5
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1420,2,1,100
Plot  Area,Ready To Move,Srirampura,6 Bedroom,1450,6,0,250
Built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1490,3,1,78.8
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075,2,1,46
Super built-up  Area,18-Aug,Old Madras Road,3 BHK,1425,2,2,94
Built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1200,2,1,40
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,1280,2,2,56
Super built-up  Area,Ready To Move,Silver Springs Layout,2 BHK,1084,2,2,50
Super built-up  Area,18-Jul,Chandapura,2 BHK,1015,2,2,25.88
Super built-up  Area,21-May,Kanakpura Road,2 BHK,1017,2,1,51.25
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1027,2,2,44
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,1069,2,2,45
Super built-up  Area,Ready To Move,Hebbal,2 BHK,1349,2,1,98.2
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,1005,2,1,50
Super built-up  Area,Ready To Move,Jakkur,2 BHK,1417,2,3,75
Plot  Area,18-Jan,TC Palaya,3 Bedroom,1475,3,1,98
Carpet  Area,Ready To Move,Maruthi Sevanagar,2 BHK,950,2,2,47
Super built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,2000,4,0,120
Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,880,3,1,140
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,1863,3,2,104
Super built-up  Area,Ready To Move,Singasandra,2 BHK,1010,2,1,29.5
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,1425,2,1,70
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,1450,3,0,100
Super built-up  Area,Ready To Move,Kothanur,3 BHK,1847,3,2,105
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,1100,2,3,45
Super built-up  Area,20-Dec,Kanakpura Road,1 BHK,525,1,1,26
Super built-up  Area,Ready To Move,Mallasandra,3 BHK,1665,3,2,95
Super built-up  Area,Ready To Move,Begur,4 BHK,1664,4,3,65
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,1850,3,3,150
Super built-up  Area,Ready To Move,Panathur,2 BHK,1438,2,3,100
Super built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,3 BHK,1560,3,3,115
Super built-up  Area,18-Apr,Yelahanka,2 BHK,1350,2,1,55.55
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1550,3,3,67
Super built-up  Area,18-Apr,Malleshpalya,2 BHK,1140,2,2,46.5
Plot  Area,Ready To Move,Srirampura,5 Bedroom,1200,5,2,180
Super built-up  Area,18-Dec,Kodathi,2 BHK,850,2,2,27
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1280,2,2,75
Built-up  Area,Ready To Move,Munnekollal,2 BHK,1170,2,2,52
Super built-up  Area,Ready To Move,Motappa Layout,2 BHK,1113,2,1,51
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,1385,2,1,83.09
Super built-up  Area,18-Apr,Electronic City,2 BHK,1128,2,1,65
Plot  Area,Ready To Move,Marathahalli,2 Bedroom,1200,2,2,128
Plot  Area,Ready To Move,Akshaya Vana,4 Bedroom,1200,4,3,165
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,2390,3,2,415
Plot  Area,Ready To Move,Giri Nagar,4 Bedroom,2400,4,1,400
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,1464,3,2,56
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,1200,2,2,55
Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,1200,2,2,52
Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,1150,2,1,55
Built-up  Area,Ready To Move,Basavanna Nagar,3 BHK,1645,3,2,95
Super built-up  Area,20-Mar,Sarjapur  Road,2 BHK,1000,2,1,67
Plot  Area,Ready To Move,Haralur Road,4 Bedroom,2650,4,2,198
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1192,2,2,74
Super built-up  Area,Ready To Move,Ulsoor,3 BHK,2135,3,2,215
Super built-up  Area,19-Dec,Whitefield,2 BHK,1173,2,1,58
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,1020,2,2,45
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,3122,6,2,230
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,1600,3,3,64
Plot  Area,18-Mar,T.C PALYA,2 Bedroom,1200,2,0,79
Carpet  Area,Ready To Move,Muneshwara Nagar,2 BHK,1230,2,3,48
Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,1250,2,2,40
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1325,2,2,76
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1850,3,1,150
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,525,,,21.53
Super built-up  Area,Ready To Move,Basaveshwara Nagar,2 BHK,1200,2,2,65
Plot  Area,Ready To Move,Bull Temple Road,3 Bedroom,1350,2,0,140
Super built-up  Area,18-Jun,Bommasandra,3 BHK,1260,3,1,49.36
Super built-up  Area,Ready To Move,Prashanth Nagar,3 BHK,1800,3,0,150
Plot  Area,18-Dec,Suragajakkanahalli,3 Bedroom,11,3,2,74
Built-up  Area,Ready To Move,Ardendale,2 BHK,1100,2,1,43.25
Super built-up  Area,Ready To Move,Harlur,2 BHK,1508,2,1,77
Carpet  Area,Ready To Move,Sampigehalli,3 BHK,1592,3,2,75
